kor,gyerek,vez_hossz,átl. háremn,átl. kin
5172,22,256,2.0,0.20032777777777777
2587,2,922,6.181818181818182,0.2108177489177489
1869,18,1528,6.352941176470588,0.1903952100840336
2995,8,1837,4.2105263157894735,0.19516847117794484
4322,1,87,2.0,0.17685
3267,12,0,0.0,nan
3893,10,0,1.0,0.3523
2222,23,3102,6.9411764705882355,0.18678343084203378
3333,13,541,3.0,0.14390083333333334
2399,2,297,4.0,0.18600000000000003
2145,1,997,6.3,0.21872242857142857
2218,7,1267,8.866666666666667,0.19366649999999996
2110,19,2856,5.516129032258065,0.17634719278033797
3951,12,233,1.0,0.2522
3744,22,1162,5.833333333333333,0.15091816798941798
2349,3,611,9.0,0.15130483766233765
2218,0,110,3.0,0.0692
3435,4,812,4.8,0.1259655
3026,4,969,2.5,0.15886763888888888
2988,32,2695,4.966666666666667,0.1804712777777778
2646,3,325,3.4,0.18425
2320,8,1719,3.8333333333333335,0.19124537037037037
4399,18,922,3.090909090909091,0.2079954545454545
3519,8,542,2.142857142857143,0.2295642857142857
4276,12,0,0.0,nan
2491,15,0,1.0,0.2065
2225,8,0,1.0,0.1974
2233,4,153,2.0,0.2571333333333333
2235,5,1359,2.7142857142857144,0.17901071428571427
2836,3,1011,1.6666666666666667,0.19811250000000002
1851,1,153,1.0,0.2016
4181,39,0,5.0,0.14324
2696,2,0,0.0,nan
4170,11,125,3.0,0.17156666666666665
2827,8,0,7.0,0.1910714285714286
4295,11,0,0.0,nan
3951,9,1170,3.25,0.17912305555555555
3263,2,747,5.25,0.22663978174603172
3334,0,175,3.0,0.1893166666666667
3608,8,273,4.666666666666667,0.18365555555555557
3574,3,0,1.0,0.2094
2772,1,0,1.0,0.1552
2517,2,0,1.0,0.1882
2511,4,0,5.0,0.24778000000000003
2526,1,1170,2.8461538461538463,0.18180038461538459
2155,4,1170,1.6153846153846154,0.2133
1393,7,0,1.0,0.1734
2584,4,2019,4.954545454545454,0.23794943722943723
2202,1,200,1.6666666666666667,0.2136111111111111
2328,15,1924,5.9523809523809526,0.22538939531368096
2790,2,740,3.0,0.18903333333333336
3940,3,715,1.0,0.2094
3138,1,804,1.375,0.1706375
2951,0,554,4.5,0.1983325
2384,0,368,4.0,0.18848333333333334
1759,7,344,1.0,0.1734
3069,1,454,1.0,0.1633
2339,0,1074,6.333333333333333,0.15820051587301584
4159,1,459,3.3333333333333335,0.19984222222222223
2789,3,1448,2.0,0.21308431372549022
2773,1,1448,2.588235294117647,0.25646450980392155
2959,4,90,1.5,0.1659
2699,1,98,1.0,0.1296
2865,1,1011,1.1666666666666667,0.18425
2505,0,89,4.0,0.180975
4790,8,110,3.5,0.1670625
4744,3,922,2.3636363636363638,0.19046515151515153
3683,5,922,5.181818181818182,0.18787705627705628
2951,4,922,5.090909090909091,0.19595454545454546
2242,1,922,2.3636363636363638,0.19866212121212118
2224,0,922,2.0,0.20944696969696971
3736,0,644,1.0,0.1518
3974,1,87,1.5,0.30315000000000003
2144,2,644,3.375,0.20240416666666666
3669,4,98,3.0,0.19723333333333334
2293,0,0,2.0,0.2128
2520,0,0,1.0,0.206
2615,0,175,2.0,0.2037
2223,0,175,2.0,0.18785
