ID,Father,Mother
Repdes,Irha,Nektar/Lepke
Regina,Irha,Lidia
Rangos,Fergeteg,Dicso
Rekettye,Hernad,Kokeny
Remek,Irha,Mirella
Ribizli,Fsoos,Iringo
Rozsda,Ipoly,Narancs
Rudi,Gabris,Lenke
Rusalka,Ekes,Noci
Rigmus,Gabris,Meses
Ravasz,Fergeteg,Kankalin
Ragyog,Fako,Honorka
Rendetlen,Fulop,Epona
Rajzol,Heteny,Emese
Reggel,Jusztus,Nike
Regnum,Huba,Helena
Rege,Jusztus,Sjilka
Recefice,Fako,Iszalag
Ropi,Inas,Napsugar
Rezzent,Fergeteg,Greta
Repes,Gaspar,Lilla
Robog,Igar,Gerle
Rejtek,Irha,Mentha
Rigoletto,Jakab,Jazmin
Roma,Huba,Kincso
Rosa,Irha,Malna
Rosalinde,Huba,Melissza
Ronni,Prinz,Nemes
Renata,Luxus,Mormota
Rona,Fsoos,Jegenye
Rozmaring,Gaspar,Felho
Rubin,Huba,Malyva
Roham,Gaspar,Arka
Roxane,Huba,Kala
Regula,Fako,Kati
Ricsaj,Fako,Kecses
Riza,Heteny,Mule
Rajt,Gabris,Hargita
Rideg,Felix,Imola
Rengeteg,Felix,Juhar
Rahel,Fsoos,Dalma
Rhea,Fergeteg,Mazsola
Ringo,Fergeteg,Lohere
Ribanna,Fulop,Kicsi
Raffael,Fsoos,Eper
Rambo,Jusztus,Nokedli
No-body,Prinz,Naomi
Range,Fako,Ashnai
Reka,Luxus,Galagonya
Rizike,Inas,Nunuke
Regia,Prinz,Flora
Remi,Ipoly,Noemi
Rumba,Inas,Derce
Saci,Jank,Nora
Saba,Farkas,Lelle
Savanna,Igar,Kikerics
Soha,Felix,Nefelejcs
Sinbad,Gaspar,Emo
Sharif,Irha,Leka
Szazszorszep,Horka,Illego
Szirom,Felix,Orhidea
Som,Hernad,Kokeny
Scarlet,Fulop,Epona
Sierra,Irha,Lidia
Suttogo,Felix,Ohara
Samira,Fsoos,Iringo
Suba,Inas,Nina
Szivar,Fulop,Liliom
Szonett,Jakab,Oda
Solyom,Kerecsen,Onedin
Sofia,Inas,Odera
Sita,Gabris,Meses
Stella,Fako,Honorka
Siker,Fako,Iszalag
Seth,Horka,Luca
Szikra,Igar,Hanga
Saphir,Irha,Mirella
Szilaj,Jusztus,Nike
Swen,Fako,Joghurt
Szellem,Heteny,Csenge
Sas,Igar,Gerle
Sesto,Gaspar,Felho
Samson,Gaspar,Lilla
Sunny,Inas,Napsugar
Safran,Irha,Mentha
Shiva,Fsoos,Jegenye
Seramis,Inas,Odett
Sibylla,Huba,Helena
Salome,Jakab,Ofelia
Sgreta,Fergeteg,Greta
Salomon,Felix,Imola
Sandro,Jellem,Malyva
Selim,Jakab,Jazmin
Saul,Huba,Melissza
Szonja,Fako,Kati
Szaffi,Huba,Kala
Saman,Fako,Kecses
Silva,Felix,Juhar
Selymes,Gaspar,Klara
Szender,Fsoos,Mazsola
Samu,Hajmas,Lenke
Strolch,Hajmas,Hargita
Szundi,Fulop,Kicsi
Szerencse,Irha,Nutella
Suta,Jakab,Ozike
Szora,Jank,Zora
Susi,Huba,Kincso
Snoemi,Ipoly,Noemi
Silver,Horka,Jenke
Szurok,Farkas,Flora
Szikes,Luxus,Galagonya
Szarvas,Luxus,Mormota
Szamoca,Fsoos,Eper
Surprise,Jellem,Arka
Taifun,Jusztus,Narancs
Tokaj,Oxigen,Levendula
Tarzan,Oxigen,Lanyka
Tillego,Horka,Illego
Titan,Geza,Noci
Tocsni,Jusztus,Nokedli
Todor,Jellem,Emo
Timber,Hernad,Kokeny
Teka,Igar,Leka
Turan,Horka,Luca
Tminka,Oxigen,Minka
Toll,Igar,Gerle
Titus,Notas,Lidia
Tulipan,Kanya,Joghurt
Tobias,Fulop,Epona
Tarantula,Irha,Liliom
Toldi,Jusztus,Narcisz
Tengelic,Felix,Imola
Tamara,Kanya,Iszalag
Topas,Inas,Nunuke
Tornado,Felix,Orgona
Tekla,Inas,Derce
Titok,Legenda,Orhidea
Tamino,Jakab,Jazmin
Tristan,Jakab,Ofelia
Tenger,Koppany,Oazis
Tilos,Oxigen,Lili
Tamariska,Jellem,Palma
Tango,Felix,Juhar
Timon,Huba,Helena
Thetis,Jusztus,Nike
Tamas,Huba,Melissza
Tea,Oxigen,Olivia
